layer,k1_S1,k1_S2,k1_S4,k1_S8,k2_S3,k2_S5,k2_S6,k2_S9,k2_S10,k2_S12,k3_S7,k3_S11,k3_S13,k3_S14,k4_S15
0,0.2033920817905002,0.6825905905829536,0.043702440129386046,0.3507240480846829,4.346172014872233e-09,-8.071462313334148e-08,-2.077884144253201e-07,-1.7136335372924805e-07,-1.8398794862959121e-07,2.566311094495985e-08,-4.718701044718424e-08,1.779860920376248e-08,-3.489355246225993e-07,8.195638656616211e-08,-4.548993375566271e-07
1,0.7538697454664441,1.0587550269232855,0.6867390225330988,0.9626593887805939,0.6750505740443865,-0.16921404169665447,0.7545297046502432,0.6729222337404887,0.7901744196812311,0.7219021320343018,0.5934393910898103,0.6005866229534149,0.6248299347029791,0.8294113584690624,0.6181564389003648
2,0.7052874399556054,1.0269496507114833,1.003257950146993,0.884247365925047,0.38930009057124454,0.3908776160743502,0.8660195122162501,0.70799297425482,0.7591541128026114,0.8554511467615763,0.5309917396969266,0.569987565279007,0.6514924143751463,0.8429235733217664,0.5526042125291295
3,0.7881026797824436,1.0660974449581568,0.9761931498845419,0.9690070549647013,0.47247980866167283,0.5744156249695354,0.879782670074039,0.7770111511150996,0.9074857698546515,0.9082912305990855,0.6599481147196559,0.597625405424171,0.7162957406706281,0.8902573684851328,0.6602447686923875
4,0.7538524071375529,1.0004797048038907,1.0339240233103435,0.942808190981547,0.7080876413318845,0.5578690022230148,0.8410178398092588,0.7802634769015842,0.8928272260559931,0.8589564859867096,0.5776415599717035,0.6134011463986503,0.6102856563197242,0.859180670645502,0.5746305514540936
5,0.7842942211363052,1.0833768447240193,1.015986310111152,1.0417351689603593,0.7222220823168755,0.5976717505190109,0.855014047688908,0.8096654050880008,0.9339905265304779,0.9825061692131891,0.6239241328504351,0.5500192840894064,0.7061387515730327,0.8541646409365865,0.6653693550162845
6,0.7668347325589923,0.9462317360772028,1.0069383482138317,0.9930447108215756,0.7570493353737725,0.613728404045105,0.8866462028688855,0.7976580146286222,0.7544356808066368,0.934895783662796,0.631971408923467,0.5182203948497773,0.6935746636655594,0.8724438365962771,0.6739178424080213
7,0.8221826288435193,1.0188530617290075,1.048631015751097,0.990254110760159,0.6589675363567141,0.6640561785962847,0.9401464611291885,0.8530992782778211,1.0096824963887532,0.9981448021199969,0.6685026486714681,0.4788372980223761,0.698086784945594,0.9004279466138946,0.6490493441621462
8,0.8363287680678898,1.1223097443580627,1.0578781896167333,1.0617879297998216,0.7697740793228149,0.584181398153305,0.9210456874635485,0.8109927276770273,0.8567880673540964,0.964040305879381,0.6337230106194814,0.45675678551197046,0.7390636735492282,0.9638433472977743,0.6756947305467395
9,0.7204575141270956,1.0664753913879395,1.0617479913764531,1.0515297717518275,0.5121668113602532,0.6172838004098998,0.9062634590599271,0.8420203675826391,0.9929363975922266,0.9219742880927191,0.6552356291148397,0.5564827902449502,0.7107265889644623,0.9627073688639536,0.6639883696205086
10,0.8341570562786527,1.1171060303846996,1.0549871491061316,1.0708201262685988,0.8150951729880439,0.6767352985011206,0.83199609319369,0.7432918118105993,0.9745723770724403,1.0234661135408614,0.6655162225166956,0.6013870098524624,0.7414121031761169,0.9907571342256333,0.6578490138053894
11,0.8005490567949084,0.9831176764435239,1.0006414983007643,1.0379757086435955,0.6628722846508026,0.7341786755455866,0.8645935265554322,0.8214335176679824,0.9373547931512197,1.0111492276191711,0.6747069044245614,0.6769179196821319,0.7731034325228797,0.9666397389438418,0.7007977979050741
12,0.7611026101642185,1.1423482563760545,1.107948038313124,0.9798780348565842,0.8002391755580902,0.7421664678388171,0.9495008331206111,0.7785250594218572,1.0490059190326266,0.9710534777906207,0.7208298328850006,0.4207780924108293,0.7700360914071401,0.9849513719479243,0.28860277237577575
13,0.7604829834567175,1.097190111875534,1.0165047645568848,0.9912884434064231,0.7365714195701812,0.7347766293419733,0.9630862722794215,0.7300880087746514,0.9521133833461337,0.9485569927427505,0.5524488521946801,0.6329270468817817,0.8125906801886029,0.9284648497899374,0.6475875750184059
14,0.7434751855002509,1.0761166016260784,1.058940013249715,1.0420862403180864,0.7607307136058807,0.657104719016287,0.8766427553362317,0.7754965788788266,0.9119936443037456,1.0528963373767006,0.5982397364245521,0.5913494966096349,0.7245444224940405,0.982807899514834,0.7486940763062901
15,0.649023155371348,1.0310529073079426,1.0560058852036793,0.989309483104282,0.736860473950704,0.7197075701422162,0.9327752855088974,0.8028724855846829,0.9929945568243661,0.9950128164556292,0.7307651730047332,0.6609427084525427,0.693720918562677,0.9487058735556072,0.5503499706586202
16,0.776857919163174,1.0695332421196833,1.1333687172995675,1.076397048102485,0.7449035793542862,0.7245422667927212,0.9203547802236346,0.8233050256967545,0.836362115210957,0.9526455667283799,0.6745791915390228,0.5975650383366479,0.7411302046643363,0.9229561189810435,0.5372547888093524
17,0.7608386708630456,1.0345665481355455,1.1052938997745514,0.9956521987915039,0.7464788887235853,0.6866908644636472,0.8481538258492947,0.834433944688903,0.8797780176003774,0.993409150176578,0.6210381620460086,0.4816340572304196,0.7162774387333127,0.8817384342352549,0.698205441236496
18,0.7070958150757684,1.0002736581696405,1.032350414329105,0.9866477251052856,0.6947221623526678,0.6137976596752802,0.8342162660426563,0.7891829841666752,0.9629133641719818,0.9125349223613739,0.6583050870233113,0.6386094449294938,0.6379490064250097,0.92470683157444,0.6214305096202427
19,0.7166468600432078,0.9557049009535049,0.9888896677229141,1.062435186571545,0.6377812772989272,0.6403320129546854,0.8218129277229309,0.7763656824827194,0.998866049779786,0.957325084341897,0.46144572314288884,0.6235043423043357,0.6820766561561161,0.9069138997130923,0.665301455391778
20,0.7329812977049085,0.9886916213565403,1.0670325954755147,1.0197446478737726,0.6912217140197754,0.6238537132740021,0.8595562908384536,0.8082402149836222,0.727343600657251,1.0225793222586315,0.6354973365863165,0.5482761338353157,0.7066083583566879,0.9262821127971014,0.6516363629036479
21,0.7409787972768148,1.087815754943424,1.0732865035533905,0.9629901051521301,0.7338276753822962,0.6518606477313572,0.8378585812946161,0.8015635940763687,0.9334160875942971,1.00309752424558,0.5123235682646433,0.6145517023073301,0.6720768743091159,0.9140819824404187,0.6005907720989652
22,0.796000106467141,0.9482828941610125,1.0290910171137915,1.00478243165546,0.65646250711547,0.7167871296405792,0.8734610262844297,0.7657754454347822,0.9345171418454913,0.9732578959729937,0.5736619176136123,0.5337970298197535,0.7020011047522227,0.8816688275999492,0.6508782671557533
23,0.7890841166178385,1.0540543430381353,1.0833051800727844,1.0951040652063158,0.6558578080601162,0.6449593645003106,0.8877784626351461,0.794966803656684,0.9679662403133181,0.9611471858289508,0.4362819608714845,0.6164389219548968,0.6451475967963537,0.9088310740060277,0.6714360134469138
