layer,k1_S1,k1_S2,k1_S4,k1_S8,k2_S3,k2_S5,k2_S6,k2_S9,k2_S10,k2_S12,k3_S7,k3_S11,k3_S13,k3_S14,k4_S15
0,0.016269880752978777,0.03213651868307984,0.005712231855446532,0.011129140985001075,2.9354444464345985e-07,1.2601910641410297e-07,1.3684961691789675e-07,2.590617336439149e-07,2.2217186090408727e-07,1.8091147993490294e-07,2.8666183481471455e-07,1.1066567102912151e-07,2.743173188539857e-07,2.0033612340314316e-07,2.92208686462867e-07
1,0.06814145786847128,0.09150498339482785,0.18861102652391265,0.12957471359652162,0.06189266276449415,0.9184818904556209,0.05143272386537032,0.007409634932242348,0.031219413635572044,0.08558907432314572,0.10654466163988616,0.04865752380934711,0.15274826048822016,0.11305319836883072,0.10586609995549638
2,0.040058995494336155,0.054813721069229535,0.03043507741177153,0.07880382342476853,0.2973816014490866,0.29569108365381624,0.04602275951502871,0.04975384861623894,0.10569158495617487,0.012912406700183688,0.2715467881186835,0.03754409497290114,0.11621626435421648,0.043578771031902504,0.13608295896223088
3,0.054426393615230995,0.10162921047276348,0.08868398552389278,0.049162919472896444,0.41345621368115754,0.05856461100987525,0.0650100102363079,0.02734584036907885,0.11211526031091187,0.020243952210636906,0.01758231612448924,0.14386450513769633,0.033794302951753716,0.035264736751917915,0.05443085819396381
4,0.005600381387221765,0.05742960796990843,0.007672525615255699,0.09584062179345998,0.01976601471762818,0.009821435821399802,0.05060608437070296,0.010907120723763765,0.08335905206866553,0.19219891377211828,0.05834255150441322,0.03819318512503048,0.17585284233696377,0.05219176151719439,0.0737625528948452
5,0.027234020402280065,0.032541199730006104,0.07227472979062345,0.07232780141081349,0.07128655919237845,0.022485907828405854,0.04667324670161456,0.015388106433893614,0.08903040404697228,0.021343114085666578,0.045237226078542254,0.13184441186212467,0.09441144154879,0.0825630797768646,0.052760355683688406
6,0.1027567053773879,0.04513367684036343,0.08423723154000413,0.07907966568301347,0.05810478825641123,0.061946926642981466,0.039492153960218025,0.07795005607101287,0.061550584568350324,0.10221660119920137,0.04713214533924837,0.1484735786676935,0.03470954338221748,0.05527038503009048,0.10642078524272829
7,0.08324039616042266,0.05156111651678394,0.060965412911245395,0.04210374729643004,0.03451672032125539,0.04534337058863144,0.020058326883263936,0.05287588950884306,0.02771936281595231,0.08439204229085277,0.0042375192905022415,0.13472424300824487,0.0510093146802424,0.017004182023954602,0.07539091144292932
8,0.06539772521734248,0.06332226024354506,0.025167731208503383,0.026457396814230028,0.06240230525766783,0.023157959527467024,0.09121701932520183,0.029005432944345433,0.07293654664799877,0.05346948661083947,0.0325459314136493,0.1973371270280541,0.10014571559239596,0.04376640939578913,0.07550441859672613
9,0.09105964785492177,0.0855543860676943,0.0719742137827394,0.02882302006262609,0.5020817721026537,0.10446413373868307,0.0835577064415243,0.04845651234226388,0.09211098067374375,0.07117792927651262,0.06254119227761826,0.08086868603783494,0.1102380763414822,0.024602786437926436,0.03646422382286492
10,0.018705004151850408,0.08244085524684386,0.08097229526840663,0.08542166576569674,0.14524522038220827,0.07168754083673243,0.1362561503216239,0.03910061955247586,0.11822568721414402,0.03197609025716173,0.046945153614371786,0.05657008387013398,0.04684736513537986,0.059160860722006665,0.08626302137321672
11,0.09862614873839673,0.06660737043227213,0.09078344316245635,0.04286084034117483,0.15677067387825458,0.05027709842487917,0.05834911151866249,0.037316719708845925,0.08975719363698156,0.039934602687349094,0.05072834455084235,0.04430385295184636,0.05663025125263539,0.012309478901706207,0.06863346230286518
12,0.03515228290531539,0.10282546185650815,0.08393851351299489,0.11081491546295506,0.022087255260140534,0.025262240674681864,0.04289968357076411,0.041662632851593134,0.07187504850043001,0.07054249414162746,0.0446632715065092,0.2208076001102214,0.053921469365627216,0.07214651299136178,0.6556075095246826
13,0.10625008402143594,0.08601713051753257,0.14966746649664892,0.1213292350720925,0.0982012750161066,0.04453553822815178,0.069577266877423,0.06142370999026961,0.028428061254064788,0.04653174018320714,0.15673248103003398,0.11823885757634923,0.032109392101576054,0.014259070032033725,0.10168630901144582
14,0.13269404570861565,0.02191691245455467,0.061636408336297646,0.037707539542263864,0.08515344208144437,0.11990111253075593,0.07451195468529559,0.024461097195720264,0.19458726031342377,0.046018392724060934,0.07988311579468853,0.15704442961166237,0.005535226537743989,0.040513328651970444,0.03748436931726036
15,0.12562523284871052,0.05432796913993095,0.10965413248659707,0.051323794777152015,0.12068481188144627,0.045736101969957005,0.019877889124259435,0.017574101604723943,0.1284640771936213,0.00707325213851506,0.005723167387773896,0.03638607436266854,0.11930446511043238,0.03561908831476482,0.3214295582249612
16,0.10493167895347744,0.11228876804152142,0.06681322368795872,0.07662642204141153,0.11954963550552608,0.030916725343463913,0.06183076608496161,0.027542649915045167,0.20692714647877672,0.09684399827081891,0.05080421780278442,0.11241333290024723,0.023614194153612458,0.019024750230955463,0.28174516843394676
17,0.0989493529606942,0.08310983237507365,0.10750433898159087,0.054036018584193365,0.04428716823888901,0.11283338580199635,0.08439221032501193,0.07037885554322093,0.1523165850869237,0.06122519077540323,0.08277314957122703,0.12422201819641635,0.06478811763719267,0.08784914670252436,0.019089404313662472
18,0.03785447707720231,0.04748537672523756,0.07931463508802343,0.1392835155115874,0.11088468593384387,0.06976189485116314,0.11828087769536737,0.04336297853271009,0.04433462086264773,0.11183464200950663,0.055847296567252014,0.07763511110929444,0.06924446363124086,0.04261852422446327,0.07300452943790407
19,0.12427887540828872,0.10587404258252622,0.012676408681674262,0.05826011062335932,0.1327240006098664,0.07716683793928182,0.05569172495478402,0.048887977705737634,0.013206788210971536,0.15215775542185003,0.2008325976701938,0.07133732587470785,0.1303660339615979,0.08788996455754351,0.01462777209148457
20,0.1259129017109342,0.144924359592547,0.03326027564379809,0.05553862954914022,0.07730376316030158,0.03662787995861053,0.030819256622448707,0.09084683023900923,0.25719829354140883,0.011649414459583018,0.007912943266754785,0.14211243070273702,0.06860443366957995,0.032031036984706454,0.06730369294063872
21,0.018792409375567417,0.016987380732071476,0.019968462514333443,0.05801939452595405,0.03176847826645162,0.02228117959895272,0.042283557945226244,0.07994420906083084,0.07456894719995737,0.04454967817372826,0.161598232606888,0.022070939294228716,0.056885916677181576,0.07228367564335672,0.061870307122765665
22,0.029214982429122266,0.046839228563253114,0.07961421445656391,0.02840924799034407,0.019431841813112617,0.0336189447466849,0.06401718755837218,0.06778232931925399,0.034416109999679485,0.0571212838651074,0.10668143607757793,0.1794099299272833,0.018737943830810386,0.03979731206119846,0.04927442247671231
23,0.024987899780904585,0.09957417015057232,0.02675979891801036,0.025862802850761323,0.17957155830577892,0.031658016493565345,0.034928721289288124,0.07446764203039555,0.027431765725022934,0.018412222351592032,0.28011234530557116,0.07024001714551945,0.10794245147826041,0.009539843479862647,0.0375458117371774
24,0.11194076997039522,0.05905642827704543,0.053507834171116236,0.046940518659764965,0.4118178267745447,0.12076603077246384,0.03485267709651454,0.05584545750186706,0.13472600591508907,0.02812163462943766,0.060314197907729794,0.15220710376883295,0.10246919123022864,0.07652003494890569,0.04988612648544178
25,0.06324043884957316,0.007020908988239473,0.025436745052075785,0.06195123339050143,0.05262632910201773,0.059635842769384946,0.06693454436815033,0.025889153759693844,0.09210936151171757,0.02590292873540065,0.05135428589806835,0.16834542274818268,0.042976861900713904,0.029428744520154464,0.03658909333175027
26,0.03458876370711968,0.06917434315475951,0.13820568675270525,0.0677397042115274,0.06435833139717666,0.10312157875692535,0.014430239840680755,0.07086222264817756,0.0766879094263759,0.024311422797386645,0.05879523877072716,0.07190977375224451,0.0636631070014974,0.06528835002694093,0.05741222753163207
27,0.07614751998377305,0.07601614899848488,0.054690017824367505,0.02103776426279394,0.056479218663470804,0.08084927846611527,0.02485792405145156,0.053147700719498175,0.11036431563312345,0.0873220841883765,0.03693847550985399,0.07066616265251835,0.1254202117399885,0.09492894732945924,0.03658515436654288
28,0.057695169511195375,0.07091878133486693,0.11955406964487922,0.07164391748532714,0.35413277843102187,0.05104021326989436,0.10758728111515428,0.017623713433463247,0.031038442380403753,0.034759745811420904,0.3674093051683747,0.13735973128825105,0.06756482439962522,0.051274723544657674,0.027799795222625885
29,0.0265257764136911,0.08316843918111627,0.04517955083218703,0.042724029262627916,0.0589224082561189,0.00902014984849304,0.054892707194998384,0.041889140763351033,0.05398848738141718,0.05995415393760169,0.11145221893247743,0.14008998784971072,0.1236538853417019,0.04813020837215677,0.09918618013659214
30,0.037879857901717065,0.08359416599424718,0.20330854331055195,0.035146288762342076,0.03767633709461855,0.04166066918592775,0.06898400998532538,0.09190674398666174,0.06404126266826562,0.1127328103282735,0.12522481627557783,0.18157214360138557,0.06713732135128066,0.031703243729539456,0.025097205389902583
