layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
0,1,1,0.20087480545043945,0.013902930830366466,3
0,1,2,0.827340152528551,0.009239251662776973,3
0,2,3,-4.0026174651251904e-07,3.3950442061651503e-07,3
0,1,4,0.03846189710828993,0.0013086549031066008,3
0,2,5,-4.0605664253234863e-07,1.369265910199963e-07,3
0,2,6,-3.427267074584961e-07,3.61572854422597e-07,3
0,3,7,-4.2965014775594074e-07,1.120893567442572e-07,3
0,1,8,0.3542954723040263,0.005829146315116373,3
0,2,9,-4.867712656656901e-07,2.704194702469548e-07,3
0,2,10,-3.650784492492676e-07,3.146051217722507e-07,3
0,3,11,-3.534886572096082e-07,3.071584956320319e-07,3
0,2,12,-3.659062915378147e-07,2.1003551480722732e-07,3
0,3,13,-3.178914388020833e-07,1.5129143407462073e-07,3
0,3,14,-3.9198332362704804e-07,2.3673865139809375e-07,3
0,4,15,-2.2765662935045042e-08,2.2871493648002744e-07,3
1,1,1,0.8476760784784952,0.014587195666771625,3
1,1,2,1.2703541384802923,0.05018091242918029,3
1,2,3,0.5584629111819798,0.1426672206879656,3
1,1,4,0.6916020148330265,0.1826275652445121,3
1,2,5,0.604469100634257,0.05682484341125317,3
1,2,6,0.8910950579577023,0.088118910234228,3
1,3,7,0.6808525853686862,0.07478994142339741,3
1,1,8,1.0066892272896235,0.06297889788438732,3
1,2,9,0.713191654947069,0.046859952845138435,3
1,2,10,0.8003143734402127,0.004678653285425884,3
1,3,11,0.22960677080684241,0.19627310985356608,3
1,2,12,0.7557704150676727,0.08239409519752025,3
1,3,13,0.6967055085632538,0.06701116173379823,3
1,3,14,0.9169802218675613,0.09916068147015498,3
1,4,15,0.5155552277962366,0.0990316232695516,3
2,1,1,0.7403548161188761,0.02702897042433744,3
2,1,2,1.1394368012746174,0.11248900369752028,3
2,2,3,0.5673636611964968,0.10526902893737795,3
2,1,4,0.6203373604350619,0.9031625236782971,3
2,2,5,0.6717420319716135,0.06468660833913766,3
2,2,6,0.9248380528555976,0.02876614976698786,3
2,3,7,0.7291866325669818,0.07725783990836838,3
2,1,8,1.0011149644851685,0.05427535481785488,3
2,2,9,0.7835819406641854,0.021559310809946473,3
2,2,10,0.8803793829348353,0.06387979193257722,3
2,3,11,-0.21813385354148018,1.132658193947596,3
2,2,12,0.876539389292399,0.0476205634845353,3
2,3,13,0.7139314346843296,0.1053985571230073,3
2,3,14,0.9215375185012817,0.0471417075169236,3
2,4,15,0.3489822662538953,0.41525737278401653,3
3,1,1,0.833581911193,0.09079033492966647,3
3,1,2,1.2176063987943861,0.0662571214476808,3
3,2,3,0.538751482963562,0.14605561744651174,3
3,1,4,0.972062862581677,0.20251454245111086,3
3,2,5,0.7331050435702006,0.01752593079651038,3
3,2,6,1.0292388796806335,0.0531723865478827,3
3,3,7,0.5245505124330521,0.1052779623514783,3
3,1,8,0.9312787055969238,0.0019539620024418996,3
3,2,9,0.8129080517424478,0.015190406414337016,3
3,2,10,0.9477554460366567,0.09310326107207308,3
3,3,11,-0.07274203830295141,0.2395688338347729,3
3,2,12,0.9573352171315087,0.08756128887305328,3
3,3,13,0.6897149185339609,0.008217703393139916,3
3,3,14,1.0520431780152852,0.018137056658273275,3
3,4,15,0.5356372594833374,0.1073701969143731,3
