deletion_position,deletion_identity,deletion_support_sha256,layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,1,11,2560,1,7362,6596,209,557,450,700,0.19163835048675537,0.187329371770223,0.3719919871529984,0.40064144134521484
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,1,23,2560,1,7362,6596,209,557,500,750,0.22025275230407715,0.20018545786539713,0.41848546115414004,0.43235063552856445
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,1,37,2560,1,7362,6596,209,557,400,650,0.21703386306762695,0.21510958671569824,0.36059703360596107,0.3778505325317383
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,2,11,2560,1,7362,6596,209,557,875,1000,0.8521323204040527,0.8318188190460205,0.43755971932378107,3.8168418407440186
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,2,23,2560,1,7362,6596,209,557,975,1000,0.7978414297103882,0.8334865172704061,0.4337454205461945,4.115485668182373
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,2,37,2560,1,7362,6596,209,557,675,925,0.8261599540710449,0.8167151212692261,0.40675488181476094,3.7861785888671875
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,3,11,2560,1,7362,6596,209,557,25,275,-3.46451997756958e-07,-4.594524701436361e-08,1.777067166566682e-07,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,3,23,2560,1,7362,6596,209,557,25,275,-1.341104507446289e-07,-4.3213367462158203e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,3,37,2560,1,7362,6596,209,557,25,275,-6.631016731262207e-07,-7.227063179016113e-07,0.0,-7.450580596923828e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,4,11,2560,1,7362,6596,209,557,850,1000,0.05263516306877136,0.03826764225959778,0.03463951349655887,0.12617667019367218
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,4,23,2560,1,7362,6596,209,557,725,975,0.04900789260864258,0.03985682129859924,0.03564578647610614,0.1337563693523407
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,4,37,2560,1,7362,6596,209,557,375,625,0.037255167961120605,0.03726122776667277,0.025123297438493137,0.11117130517959595
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,5,11,2560,1,7362,6596,209,557,25,275,-5.21540641784668e-08,-2.7939677238464355e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,5,23,2560,1,7362,6596,209,557,25,275,-5.960464477539063e-08,-5.513429641723633e-07,0.0,1.4901161193847656e-08
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,5,37,2560,1,7362,6596,209,557,25,275,-2.4586915969848633e-07,-3.8743019104003906e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,6,11,2560,1,7362,6596,209,557,25,275,1.6391277313232422e-07,-7.947285970052083e-08,2.247831920581015e-07,3.725290298461914e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,6,23,2560,1,7362,6596,209,557,25,275,-8.195638656616211e-08,-7.549921671549479e-07,1.7770671665666814e-07,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,6,37,2560,1,7362,6596,209,557,25,275,-2.905726432800293e-07,-1.9371509552001953e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,7,11,2560,1,7362,6596,209,557,25,275,-1.7508864402770996e-07,-5.364418029785156e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,7,23,2560,1,7362,6596,209,557,25,275,-1.4901161193847656e-07,-3.129243850708008e-07,0.0,-1.4901161193847656e-08
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,7,37,2560,1,7362,6596,209,557,25,275,-2.682209014892578e-07,-4.3958425521850586e-07,0.0,-7.450580596923828e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,8,11,2560,1,7362,6596,209,557,975,1000,0.30883848667144775,0.35947684446970624,0.02579297891542301,1.2713512182235718
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,8,23,2560,1,7362,6596,209,557,975,1000,0.3048732280731201,0.35542553663253784,0.019502643298694413,1.2781656980514526
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,1,8,37,2560,1,7362,6596,209,557,600,850,0.3082984685897827,0.3479840358098348,0.01691280482198772,1.0736302137374878
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,9,11,2560,1,7362,6596,209,557,25,275,2.2351741790771484e-07,-2.384185791015625e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,9,23,2560,1,7362,6596,209,557,25,275,1.043081283569336e-07,-4.470348358154297e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,9,37,2560,1,7362,6596,209,557,25,275,-3.0547380447387695e-07,-7.748603820800781e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,10,11,2560,1,7362,6596,209,557,25,275,-4.470348358154297e-08,-7.078051567077637e-07,0.0,3.725290298461914e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,10,23,2560,1,7362,6596,209,557,25,275,1.043081283569336e-07,-8.940696716308594e-08,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,10,37,2560,1,7362,6596,209,557,25,275,5.21540641784668e-08,-2.980232238769531e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,11,11,2560,1,7362,6596,209,557,25,275,-2.9802322387695312e-08,-3.725290298461914e-08,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,11,23,2560,1,7362,6596,209,557,25,275,-2.9802322387695312e-08,-3.725290298461914e-07,0.0,-1.4901161193847656e-08
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,11,37,2560,1,7362,6596,209,557,25,275,-2.7567148208618164e-07,-6.506840387980143e-07,1.7770671665666816e-07,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,12,11,2560,1,7362,6596,209,557,25,275,3.725290298461914e-08,-5.885958671569824e-07,0.0,3.725290298461914e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,12,23,2560,1,7362,6596,209,557,25,275,5.960464477539063e-08,-3.3775965372721356e-07,2.247831920581015e-07,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,2,12,37,2560,1,7362,6596,209,557,25,275,-1.2665987014770508e-07,-1.7136335372924805e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,13,11,2560,1,7362,6596,209,557,25,275,2.868473529815674e-07,-2.1606683731079102e-07,0.0,7.450580596923828e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,13,23,2560,1,7362,6596,209,557,25,275,-1.1920928955078125e-07,-4.917383193969727e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,13,37,2560,1,7362,6596,209,557,25,275,-2.0489096641540527e-07,-2.4586915969848633e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,14,11,2560,1,7362,6596,209,557,25,275,-4.6566128730773926e-08,-5.128482977549235e-07,1.7770671665666814e-07,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,14,23,2560,1,7362,6596,209,557,25,275,-2.682209014892578e-07,-1.1920928955078125e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,3,14,37,2560,1,7362,6596,209,557,25,275,-2.4586915969848633e-07,-5.438923835754395e-07,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,4,15,11,2560,1,7362,6596,209,557,25,275,2.868473529815674e-07,-6.332993507385254e-08,0.0,0.0
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,4,15,23,2560,1,7362,6596,209,557,25,275,1.043081283569336e-07,-2.284844716389974e-07,1.7770671665666814e-07,1.4901161193847656e-08
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,0,4,15,37,2560,1,7362,6596,209,557,25,275,1.341104507446289e-07,2.2351741790771484e-07,0.0,7.450580596923828e-09
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,1,11,2560,1,7362,6596,209,557,925,1000,0.7563713788986206,0.8532706101735433,0.4566431039512876,2.877251148223877
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,1,23,2560,1,7362,6596,209,557,850,1000,0.7794187813997269,0.8311197360356649,0.38702342491993746,2.9575724601745605
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,1,37,2560,1,7362,6596,209,557,950,1000,0.6796108931303024,0.8586378892262777,0.3917826653494984,2.630831718444824
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,2,11,2560,1,7362,6596,209,557,1000,1000,1.190851092338562,1.294574538866679,0.48107983780527325,5.756392478942871
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,2,23,2560,1,7362,6596,209,557,950,1000,1.1560842990875244,1.3038307030995686,0.4488059325291373,6.414516448974609
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,2,37,2560,1,7362,6596,209,557,1000,1000,1.0826741456985474,1.2126571734746296,0.4757296358075015,6.191860198974609
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,3,11,2560,1,7362,6596,209,557,900,1000,0.7374008297920227,0.7229034950335821,0.3257434739336782,3.22910737991333
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,3,23,2560,1,7362,6596,209,557,975,1000,0.7547730207443237,0.48481038709481555,0.6209267446376944,3.116105079650879
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,3,37,2560,1,7362,6596,209,557,900,1000,0.8390257358551025,0.4676748514175415,0.8395246242402273,3.5445427894592285
