layer,order_k,n_subsets,mean_peak_normalized_score,sd_peak_normalized_score_across_subsets,min_peak_normalized_score,max_peak_normalized_score,interpretation
0,1,4,0.29417980637568364,0.23187262539739342,0.03855977270443295,0.5975328335934788,descriptive mean after within-subset peak normalization
1,1,4,0.8101719176458264,0.14064102100906553,0.6059272786082931,0.9268233404426447,descriptive mean after within-subset peak normalization
2,1,4,0.8419219466418019,0.05966070135589596,0.7756962050570367,0.8989812388468489,descriptive mean after within-subset peak normalization
3,1,4,0.8868213607670797,0.038336585892973875,0.8500507032025788,0.9332508182226381,descriptive mean after within-subset peak normalization
4,1,4,0.8696425222931654,0.035143443740264124,0.8270680400342489,0.9122574211981368,descriptive mean after within-subset peak normalization
5,1,4,0.9142400080751596,0.02406027538794449,0.8964305213328122,0.9483770283511317,descriptive mean after within-subset peak normalization
6,1,4,0.8665526837138819,0.026458216671964064,0.8283216005239901,0.8884472747871704,descriptive mean after within-subset peak normalization
7,1,4,0.9068786573551196,0.03282404849367987,0.86868944750003,0.9416978403033933,descriptive mean after within-subset peak normalization
8,1,4,0.9512983222161868,0.024009969954479907,0.9314416977193498,0.9824584911771466,descriptive mean after within-subset peak normalization
9,1,4,0.9045043372545514,0.05323600108932759,0.8251856233427707,0.9368072147837624,descriptive mean after within-subset peak normalization
10,1,4,0.950880791886251,0.020695553437401717,0.9308419519640594,0.9779032130959499,descriptive mean after within-subset peak normalization
11,1,4,0.8927437027123764,0.02602049325578273,0.8606111761069535,0.9169195400066814,descriptive mean after within-subset peak normalization
12,1,4,0.9272242163718589,0.07184348989327585,0.8595871498716207,1.0,descriptive mean after within-subset peak normalization
13,1,4,0.8994957802731725,0.04253948933686555,0.8695968043544485,0.9604690213790157,descriptive mean after within-subset peak normalization
14,1,4,0.9105147448025337,0.04102859143094843,0.8515492202621104,0.9420214856719026,descriptive mean after within-subset peak normalization
15,1,4,0.8613855268916085,0.08289855922150403,0.743367327742964,0.9317408086926755,descriptive mean after within-subset peak normalization
16,1,4,0.9425751110991958,0.04519287540814917,0.8897845795253151,1.0,descriptive mean after within-subset peak normalization
17,1,4,0.9064348622215193,0.048469110620735334,0.871436719818362,0.9752288755667187,descriptive mean after within-subset peak normalization
18,1,4,0.8654764355329856,0.04185033198782182,0.8098816231146005,0.910868986033817,descriptive mean after within-subset peak normalization
19,1,4,0.8654918286020525,0.049340383458430996,0.8208210398608891,0.9320094965512955,descriptive mean after within-subset peak normalization
20,1,4,0.8852625265275741,0.0436963613620195,0.8395299059071474,0.9414699551774208,descriptive mean after within-subset peak normalization
21,1,4,0.8981782728691086,0.059466520991901105,0.8447724006421324,0.9522628050349308,descriptive mean after within-subset peak normalization
22,1,4,0.8828134738970059,0.03762884464845278,0.8301171633677735,0.9117093390744001,descriptive mean after within-subset peak normalization
23,1,4,0.9357480014506337,0.027176376662162043,0.9037880178543092,0.9606679083905553,descriptive mean after within-subset peak normalization
24,1,4,0.8879388262826113,0.04225846851876916,0.8375517737894334,0.9256770052174572,descriptive mean after within-subset peak normalization
25,1,4,0.9209947278137424,0.040067441762051056,0.8643962314615597,0.9574947418223227,descriptive mean after within-subset peak normalization
26,1,4,0.9014592663041594,0.032106143386632445,0.8636172809179595,0.9393581100167708,descriptive mean after within-subset peak normalization
27,1,4,0.9480407239954807,0.033022134484938105,0.9210568674492616,0.9930777239117943,descriptive mean after within-subset peak normalization
28,1,4,0.9383877047134517,0.057528765267749665,0.8863898071385974,1.0,descriptive mean after within-subset peak normalization
