layer,order_k,n_subsets,descriptive_raw_score_mean,descriptive_raw_score_sd_across_subsets,min_subset_raw_score,max_subset_raw_score,max_critic_seed_sd,interpretation
0,1,4,0.3201022901468807,0.2722459732402038,0.043702440129386046,0.6825905905829536,0.03213651868307984,descriptive mean of independently estimated fixed-subset neural dependence scores
1,1,4,0.8655057959258556,0.17436002305298826,0.6867390225330988,1.0587550269232855,0.18861102652391265,descriptive mean of independently estimated fixed-subset neural dependence scores
2,1,4,0.9049356016847822,0.14701712365991534,0.7052874399556054,1.0269496507114833,0.07880382342476853,descriptive mean of independently estimated fixed-subset neural dependence scores
3,1,4,0.9498500823974609,0.11652842050703523,0.7881026797824436,1.0660974449581568,0.10162921047276348,descriptive mean of independently estimated fixed-subset neural dependence scores
4,1,4,0.9327660815583335,0.12507199367958333,0.7538524071375529,1.0339240233103435,0.09584062179345998,descriptive mean of independently estimated fixed-subset neural dependence scores
5,1,4,0.9813481362329589,0.13427149067282682,0.7842942211363052,1.0833768447240193,0.07232780141081349,descriptive mean of independently estimated fixed-subset neural dependence scores
6,1,4,0.9282623819179006,0.11070748465698167,0.7668347325589923,1.0069383482138317,0.1027567053773879,descriptive mean of independently estimated fixed-subset neural dependence scores
7,1,4,0.9699802042709457,0.10137333792992033,0.8221826288435193,1.048631015751097,0.08324039616042266,descriptive mean of independently estimated fixed-subset neural dependence scores
8,1,4,1.0195761579606268,0.12567507706697437,0.8363287680678898,1.1223097443580627,0.06539772521734248,descriptive mean of independently estimated fixed-subset neural dependence scores
9,1,4,0.975052667160829,0.16984466748655092,0.7204575141270956,1.0664753913879395,0.09105964785492177,descriptive mean of independently estimated fixed-subset neural dependence scores
10,1,4,1.0192675905095205,0.1261900960323671,0.8341570562786527,1.1171060303846996,0.08542166576569674,descriptive mean of independently estimated fixed-subset neural dependence scores
11,1,4,0.955570985045698,0.10584974898707601,0.8005490567949084,1.0379757086435955,0.09862614873839673,descriptive mean of independently estimated fixed-subset neural dependence scores
12,1,4,0.9978192349274952,0.17260131177111698,0.7611026101642185,1.1423482563760545,0.11081491546295506,descriptive mean of independently estimated fixed-subset neural dependence scores
13,1,4,0.9663665758238899,0.1444965843244453,0.7604829834567175,1.097190111875534,0.14966746649664892,descriptive mean of independently estimated fixed-subset neural dependence scores
14,1,4,0.9801545101735327,0.1583966754884841,0.7434751855002509,1.0761166016260784,0.13269404570861565,descriptive mean of independently estimated fixed-subset neural dependence scores
15,1,4,0.9313478577468131,0.19021698864095413,0.649023155371348,1.0560058852036793,0.12562523284871052,descriptive mean of independently estimated fixed-subset neural dependence scores
16,1,4,1.0140392316712274,0.16068870900916346,0.776857919163174,1.1333687172995675,0.11228876804152142,descriptive mean of independently estimated fixed-subset neural dependence scores
17,1,4,0.9740878293911616,0.14923464071387416,0.7608386708630456,1.1052938997745514,0.10750433898159087,descriptive mean of independently estimated fixed-subset neural dependence scores
18,1,4,0.9315919031699499,0.15088527445205183,0.7070958150757684,1.032350414329105,0.1392835155115874,descriptive mean of independently estimated fixed-subset neural dependence scores
19,1,4,0.9309191538227929,0.14964847308966814,0.7166468600432078,1.062435186571545,0.12427887540828872,descriptive mean of independently estimated fixed-subset neural dependence scores
20,1,4,0.952112540602684,0.14959640337546384,0.7329812977049085,1.0670325954755147,0.144924359592547,descriptive mean of independently estimated fixed-subset neural dependence scores
21,1,4,0.9662677902314398,0.1602006931869104,0.7409787972768148,1.087815754943424,0.05801939452595405,descriptive mean of independently estimated fixed-subset neural dependence scores
22,1,4,0.9445391123493513,0.10465201748499861,0.796000106467141,1.0290910171137915,0.07961421445656391,descriptive mean of independently estimated fixed-subset neural dependence scores
23,1,4,1.0053869262337685,0.145230669640743,0.7890841166178385,1.0951040652063158,0.09957417015057232,descriptive mean of independently estimated fixed-subset neural dependence scores
24,1,4,0.953293778002262,0.13761211105614518,0.7583865986929998,1.0574455128775702,0.11194076997039522,descriptive mean of independently estimated fixed-subset neural dependence scores
25,1,4,0.9912568546003765,0.158701712241318,0.7546917233202192,1.09148684475157,0.06324043884957316,descriptive mean of independently estimated fixed-subset neural dependence scores
26,1,4,0.965912438929081,0.11956740679289683,0.7962674796581268,1.0730740990903642,0.13820568675270525,descriptive mean of independently estimated fixed-subset neural dependence scores
