layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
0,1,1,11,2560,1,8210,7352,245,613,525,775,0.19401311874389648,0.20713130633036295,0.34022865210250747,0.3900960683822632
0,1,1,23,2560,1,8210,7352,245,613,400,650,0.18591666221618652,0.1855781078338623,0.3036621837516237,0.3491915464401245
0,1,1,37,2560,1,8210,7352,245,613,650,900,0.20750749111175537,0.2174668312072754,0.344284665976385,0.4515033960342407
0,1,2,11,2560,1,8210,7352,245,613,950,1000,0.9481617212295532,0.708818515141805,0.3964372549166725,4.598932266235352
0,1,2,23,2560,1,8210,7352,245,613,850,1000,0.8855537176132202,0.6467427810033163,0.3647374119645106,4.3957037925720215
0,1,2,37,2560,1,8210,7352,245,613,950,1000,0.9415364265441895,0.6922104756037394,0.40245817627204467,4.726138114929199
0,1,4,11,2560,1,8210,7352,245,613,175,425,0.03766608238220215,0.03925995031992594,0.017588403594331753,0.07794654369354248
0,1,4,23,2560,1,8210,7352,245,613,250,500,0.04324635863304138,0.04170138637224833,0.01495769848583567,0.10031715035438538
0,1,4,37,2560,1,8210,7352,245,613,425,675,0.0517238974571228,0.05014598369598389,0.01398880850233416,0.12101531028747559
0,1,8,11,2560,1,8210,7352,245,613,625,875,0.3424030542373657,0.34237035115559894,0.05096600326844509,0.9891868829727173
0,1,8,23,2560,1,8210,7352,245,613,950,1000,0.3565661907196045,0.34644397099812824,0.052148337577440966,1.3082633018493652
0,1,8,37,2560,1,8210,7352,245,613,975,1000,0.3591004014015198,0.36335782210032147,0.04138164043660249,1.1586084365844727
0,2,3,11,2560,1,8210,7352,245,613,25,275,-1.8067657947540283e-07,3.03611159324646e-07,0.0,0.0
0,2,3,23,2560,1,8210,7352,245,613,25,275,-1.6391277313232422e-07,-2.8312206268310547e-07,0.0,0.0
0,2,3,37,2560,1,8210,7352,245,613,25,275,-1.7136335372924805e-07,-7.450580596923828e-09,0.0,-7.450580596923828e-09
0,2,5,11,2560,1,8210,7352,245,613,25,275,0.0,-2.2351741790771484e-07,0.0,3.725290298461914e-09
0,2,5,23,2560,1,8210,7352,245,613,25,275,-1.341104507446289e-07,1.4901161193847656e-08,0.0,0.0
0,2,5,37,2560,1,8210,7352,245,613,25,275,1.1548399925231934e-07,-3.3527612686157227e-08,0.0,0.0
0,2,6,11,2560,1,8210,7352,245,613,25,275,-4.0978193283081055e-08,-3.5762786865234375e-07,0.0,-7.450580596923828e-09
0,2,6,23,2560,1,8210,7352,245,613,25,275,-3.2782554626464844e-07,-8.940696716308594e-08,0.0,0.0
0,2,6,37,2560,1,8210,7352,245,613,25,275,2.5331974029541016e-07,-1.763304074605306e-07,2.247831920581015e-07,0.0
0,2,9,11,2560,1,8210,7352,245,613,25,275,1.7881393432617188e-07,-4.6938657760620117e-07,0.0,7.450580596923828e-09
0,2,9,23,2560,1,8210,7352,245,613,25,275,-1.4901161193847656e-08,-4.470348358154297e-08,0.0,0.0
0,2,9,37,2560,1,8210,7352,245,613,25,275,1.1920928955078125e-07,0.0,0.0,0.0
0,2,10,11,2560,1,8210,7352,245,613,25,275,9.313225746154785e-08,-4.402051369349162e-07,1.777067166566682e-07,0.0
0,2,10,23,2560,1,8210,7352,245,613,25,275,2.2351741790771484e-07,-4.470348358154297e-08,0.0,0.0
0,2,10,37,2560,1,8210,7352,245,613,25,275,2.3096799850463867e-07,-6.705522537231445e-08,0.0,0.0
0,2,12,11,2560,1,8210,7352,245,613,25,275,2.4959444999694824e-07,2.3345152537027994e-07,1.7770671665666814e-07,0.0
0,2,12,23,2560,1,8210,7352,245,613,25,275,-8.940696716308594e-08,-5.960464477539063e-08,0.0,0.0
0,2,12,37,2560,1,8210,7352,245,613,25,275,2.7567148208618164e-07,-9.685754776000977e-08,0.0,7.450580596923828e-09
0,3,7,11,2560,1,8210,7352,245,613,25,275,-2.9802322387695312e-08,-2.3096799850463867e-07,0.0,3.725290298461914e-09
0,3,7,23,2560,1,8210,7352,245,613,25,275,4.470348358154297e-08,-1.9371509552001953e-07,0.0,0.0
0,3,7,37,2560,1,8210,7352,245,613,25,275,-7.450580596923828e-08,2.8312206268310547e-07,0.0,0.0
0,3,11,11,2560,1,8210,7352,245,613,25,275,-2.7567148208618164e-07,1.1175870895385742e-08,0.0,-3.725290298461914e-09
0,3,11,23,2560,1,8210,7352,245,613,25,275,-1.7881393432617188e-07,-8.940696716308594e-08,0.0,1.4901161193847656e-08
0,3,11,37,2560,1,8210,7352,245,613,25,275,-2.3096799850463867e-07,1.3162692387898764e-07,2.247831920581015e-07,-7.450580596923828e-09
0,3,13,11,2560,1,8210,7352,245,613,25,275,-2.644956111907959e-07,-5.774199962615967e-07,0.0,0.0
0,3,13,23,2560,1,8210,7352,245,613,25,275,2.980232238769531e-07,-4.470348358154297e-08,0.0,0.0
0,3,13,37,2560,1,8210,7352,245,613,25,275,1.4156103134155273e-07,-4.246830940246582e-07,0.0,0.0
0,3,14,11,2560,1,8210,7352,245,613,25,275,1.8440186977386475e-07,-2.2351741790771484e-08,0.0,-1.862645149230957e-09
0,3,14,23,2560,1,8210,7352,245,613,25,275,2.2351741790771484e-07,-4.470348358154297e-08,0.0,-1.4901161193847656e-08
0,3,14,37,2560,1,8210,7352,245,613,25,275,-4.842877388000488e-08,3.129243850708008e-07,0.0,0.0
0,4,15,11,2560,1,8210,7352,245,613,25,275,7.82310962677002e-08,-3.390014171600342e-07,0.0,0.0
0,4,15,23,2560,1,8210,7352,245,613,25,275,-3.2782554626464844e-07,-2.384185791015625e-07,0.0,0.0
0,4,15,37,2560,1,8210,7352,245,613,25,275,-7.078051567077637e-07,-7.872780164082845e-07,2.247831920581015e-07,-7.450580596923828e-09
1,1,1,11,2560,1,8210,7352,245,613,675,925,0.708412766456604,0.7005041837692261,0.3647070394544439,1.8726181983947754
1,1,1,23,2560,1,8210,7352,245,613,875,1000,0.7148357555270195,0.7304791212081909,0.3629823767970553,2.6628661155700684
1,1,1,37,2560,1,8210,7352,245,613,950,1000,0.74802565574646,0.8306259314219157,0.4410600484459423,2.944751739501953
1,1,2,11,2560,1,8210,7352,245,613,675,925,1.0958760976791382,0.9531847635904948,0.3570617325946259,4.408757209777832
1,1,2,23,2560,1,8210,7352,245,613,950,1000,1.2128741592168808,1.1077518065770466,0.42030975273165444,6.471491813659668
1,1,2,37,2560,1,8210,7352,245,613,925,1000,1.1769590377807617,1.1153285106023152,0.448162893553645,5.8105363845825195
1,1,4,11,2560,1,8210,7352,245,613,950,1000,0.9591102600097656,0.8982717643181483,0.21629298259255367,3.8989481925964355
1,1,4,23,2560,1,8210,7352,245,613,825,1000,0.9003293588757515,0.5360889832178751,0.46781741357038964,3.432950496673584
1,1,4,37,2560,1,8210,7352,245,613,1000,1000,0.9340577125549316,0.6258563200632731,0.44395098820980605,4.1882243156433105
1,1,8,11,2560,1,8210,7352,245,613,975,1000,0.921394094824791,0.8251802623271942,0.17173299389702837,3.9123477935791016
1,1,8,23,2560,1,8210,7352,245,613,1000,1000,0.9149039685726166,0.9802694718043009,0.21245031569796088,4.0227742195129395
1,1,8,37,2560,1,8210,7352,245,613,1000,1000,1.0337163209915161,1.0825284322102864,0.19908546265998067,4.513765335083008
1,2,3,11,2560,1,8210,7352,245,613,975,1000,0.7262258529663086,0.6531693538029989,0.3698288445875696,3.1885757446289062
1,2,3,23,2560,1,8210,7352,245,613,850,1000,0.768853671848774,0.6270708069205284,0.35047727385700195,3.2608065605163574
1,2,3,37,2560,1,8210,7352,245,613,1000,1000,0.7970449924468994,0.7449115614096323,0.3159944617115184,3.3865575790405273
1,2,5,11,2560,1,8210,7352,245,613,950,1000,0.6226871088147163,-1.2256334573030472,2.8926091148236366,2.0674550533294678
