layer,order_k,subset_mask,primary_score_mean,primary_critic_seed_sd,primary_score_min,primary_score_max,mean_best_val,mean_best_step,random_null_mean,random_null_sd_across_derangements,random_null_min,random_null_max,random_null_derangements_ge_primary,n_derangements,primary_minus_random_null_mean
0,1,1,-0.0019276818881432218,0.0018333566903065207,-0.003432085116704305,0.00011439373095830281,-0.00358017161488533,25.0,-0.0020328930786086457,0.0002836871622453061,-0.0023164079628056953,-0.0016146058009730447,1,5,0.00010521119046542383
0,1,2,-0.9341839889271393,1.6156839612302982,-2.799815018971761,-0.000814057265718778,0.09444477533300717,258.3333333333333,-0.001302327174279425,8.260861245937028e-05,-0.0014230322558432817,-0.0012081458957658873,5,5,-0.9328816617528598
0,1,4,-0.0011110870788494747,0.0020288792433822683,-0.0034235616525014243,0.00037026094893614453,-0.0006404045658806959,33.333333333333336,-0.0010607274792467554,0.0006640975996704219,-0.002214520134859615,-0.0005922436248511076,4,5,-5.035959960271929e-05
0,1,8,-0.23344703308410117,0.1602916333560971,-0.39929652214050293,-0.07936142881711324,0.04682269195715586,233.33333333333334,-0.0024812478158209054,0.0002605637579258382,-0.0028272842367490134,-0.002118163224723604,5,5,-0.23096578526828027
0,2,3,-3.1458006964789496e-07,3.8820419336998984e-08,-3.501772880554199e-07,-2.7318795522054035e-07,1.8129746119181314e-07,25.0,-1.8506414360470244e-07,1.2747665838100932e-07,-4.0771232710944286e-07,-8.50607951482137e-08,4,5,-1.2951592604319252e-07
0,2,5,-5.339582761128744e-08,1.6213931058589664e-07,-2.123415470123291e-07,1.1175870895385742e-07,8.692344029744467e-09,25.0,-1.2334850099351672e-08,8.182531124632832e-08,-1.1134478780958388e-07,1.1589792039659288e-07,4,5,-4.1060977511935764e-08
0,2,6,-6.270905335744222e-08,4.4399902285063835e-07,-4.917383193969727e-07,3.948807716369629e-07,1.3907750447591147e-07,25.0,-4.4434434837765167e-07,3.392732124474723e-07,-9.80993111928304e-07,-1.1672576268513997e-07,0,5,3.8163529502020947e-07
0,2,9,-3.0671556790669757e-07,1.395037076060172e-07,-4.3213367462158203e-07,-1.564621925354004e-07,-8.568167686462402e-08,25.0,-1.5613105561998155e-07,1.1875656597612648e-07,-3.257559405432807e-07,-4.139211442735459e-08,4,5,-1.5058451228671602e-07
0,2,10,1.0865430037180582e-08,3.1039785916840856e-07,-3.427267074584961e-07,2.384185791015625e-07,4.967053731282552e-08,25.0,-1.856436332066854e-07,1.4640014044219794e-07,-3.667341338263618e-07,-3.311369154188368e-08,0,5,1.9650906324386597e-07
0,2,12,-1.7798609203762479e-07,1.43407996802476e-07,-3.3279259999593097e-07,-4.967053731282552e-08,2.7939677238464355e-07,25.0,-1.8618173069424098e-07,1.175256911316664e-07,-3.489355246225993e-07,-6.2916013929579e-08,3,5,8.195638656616195e-09
