family,layer,order_k,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,subset_masks,null_cube_shift,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
null_control,0,1,11,2560,1,32840,29408,980,2452,1;2;4;8,1,500,750,0.4403465688228607,0.5659095843633016,0.05103329311294437,1.094833493232727
null_control,0,1,23,2560,1,32840,29408,980,2452,1;2;4;8,1,675,925,0.5535599589347839,0.4792694052060445,0.24457542285942271,2.3677361011505127
null_control,0,1,37,2560,1,32840,29408,980,2452,1;2;4;8,1,500,750,0.41230064630508423,0.3936946590741475,0.11175201978993123,1.5449554920196533
primary,0,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,850,1000,0.6778392195701599,0.4357374807198842,0.03483370268562898,1.9585597515106201
primary,0,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,425,675,0.7113881707191467,0.7870091398557028,0.08136591654737904,1.6301355361938477
primary,0,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,1000,1000,0.7419918775558472,0.6081219911575317,0.21642020288180414,3.238769769668579
null_control,0,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,25,275,2.9616057872772217e-07,-8.158385753631592e-07,0.0,-1.862645149230957e-09
null_control,0,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,25,275,-1.4901161193847656e-08,-1.3113021850585938e-06,0.0,1.4901161193847656e-08
null_control,0,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,25,275,5.21540641784668e-08,-9.685754776000977e-07,0.0,0.0
primary,0,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,25,275,-1.2665987014770508e-07,-6.705522537231445e-08,0.0,0.0
primary,0,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,25,275,-1.6391277313232422e-07,-7.748603820800781e-07,0.0,0.0
primary,0,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,25,275,7.450580596923828e-08,-8.642673492431641e-07,0.0,-1.4901161193847656e-08
null_control,0,3,11,2560,1,32840,29408,980,2452,7;11;13;14,1,25,275,2.123415470123291e-07,-2.7194619178771973e-07,2.384185791015625e-07,3.725290298461914e-09
null_control,0,3,23,2560,1,32840,29408,980,2452,7;11;13;14,1,25,275,1.341104507446289e-07,7.450580596923828e-08,0.0,0.0
null_control,0,3,37,2560,1,32840,29408,980,2452,7;11;13;14,1,25,275,3.725290298461914e-08,-1.7881393432617188e-07,0.0,0.0
primary,0,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,25,275,9.872019290924072e-08,-3.234793742497762e-07,2.247831920581015e-07,0.0
primary,0,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,25,275,1.7881393432617188e-07,1.6391277313232422e-07,0.0,0.0
primary,0,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,25,275,3.650784492492676e-07,-1.2665987014770508e-07,0.0,0.0
null_control,0,4,11,2560,1,8210,7352,245,613,15,1,25,275,6.332993507385254e-08,-1.1920928955078125e-07,0.0,0.0
null_control,0,4,23,2560,1,8210,7352,245,613,15,1,25,275,4.470348358154297e-08,-8.940696716308594e-08,0.0,0.0
null_control,0,4,37,2560,1,8210,7352,245,613,15,1,25,275,3.2782554626464844e-07,-1.6391277313232422e-07,0.0,0.0
primary,0,4,11,2560,1,8210,7352,245,613,15,0,25,275,-1.8998980522155762e-07,-1.6391277313232422e-07,0.0,0.0
primary,0,4,23,2560,1,8210,7352,245,613,15,0,25,275,-1.341104507446289e-07,-1.1920928955078125e-07,0.0,0.0
primary,0,4,37,2560,1,8210,7352,245,613,15,0,25,275,3.2782554626464844e-07,2.2351741790771484e-08,0.0,0.0
primary,1,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.794114351272583,0.6568320194880167,0.048603417712857276,1.892339825630188
primary,1,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.6201411485671997,0.9204800923665365,0.14844865746543123,2.195749282836914
primary,1,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,875,1000,0.7189306616783142,0.39563313126564026,0.030257017114445717,2.8549623489379883
primary,1,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,350,600,0.6996375918388367,0.24544933438301086,0.03398765685096984,1.1316546201705933
primary,1,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,325,575,0.651050329208374,0.19367497165997824,0.0239935111764051,1.0077756643295288
primary,1,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,425,675,0.632536768913269,0.32038148244222003,0.029869271558135506,1.3683964014053345
primary,1,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.31032782793045044,-0.23771222432454428,0.040911334434943915,0.40635693073272705
primary,1,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.3057222068309784,-0.19154725472132364,0.030152352895789995,0.3713981509208679
primary,1,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.47966668754816055,-0.36600713928540546,0.0345960366703427,0.4999854862689972
primary,1,4,11,2560,1,8210,7352,245,613,15,0,100,350,0.007210113340988755,-0.01705869900373121,0.006750832482831303,0.004744411446154118
primary,1,4,23,2560,1,8210,7352,245,613,15,0,150,400,0.008933097124099731,-0.0946517288684845,0.022426570627984678,0.018722623586654663
primary,1,4,37,2560,1,8210,7352,245,613,15,0,250,500,0.018204376101493835,-0.30044400691986084,0.027936917969744297,-0.02357417345046997
primary,2,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,400,650,0.7280758619308472,1.072792609532674,0.06311900324346963,2.1854488849639893
primary,2,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,850,1000,1.0016106069087982,0.7792995373407999,0.21771522619546185,4.4484782218933105
primary,2,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,0.697795569896698,0.9144608577092489,0.053048510409862915,3.1928536891937256
primary,2,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.0235086679458618,0.22748554746309915,0.03036289176969567,1.716812014579773
primary,2,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,0.6860098242759705,0.36338794231414795,0.020823074374584083,1.3228744268417358
primary,2,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,0.8897787928581238,0.22943455974260965,0.039285892800927716,2.069056749343872
primary,2,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.37385720014572144,-0.3585260510444641,0.02745278964082146,0.4806503653526306
primary,2,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,225,475,0.1835612766444683,-0.207523246606191,0.013065086219082629,0.19262564182281494
primary,2,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.34181296825408936,-0.20732527474562326,0.019040094222166352,0.26376426219940186
primary,2,4,11,2560,1,8210,7352,245,613,15,0,200,450,0.015168008394539356,-0.2583490312099457,0.02217757423659588,-0.023210853338241577
primary,2,4,23,2560,1,8210,7352,245,613,15,0,50,300,6.0617923736572266e-05,-0.0008165240287780762,0.0002474398558327274,-0.00034749507904052734
primary,2,4,37,2560,1,8210,7352,245,613,15,0,100,350,0.011576376855373383,-0.060267706712087,0.009758982606670283,-0.02255505695939064
primary,3,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.8838915079832077,0.9289134740829468,0.2073308128691257,3.456221342086792
primary,3,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,550,800,0.9531999379396439,0.954168438911438,0.09822682808785707,3.646996021270752
primary,3,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,1.0736968666315079,0.8307351271311442,0.13784078838981742,3.514150857925415
primary,3,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,0.9237326979637146,-0.037694950898488365,0.015219840982999605,1.8490252494812012
primary,3,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,1.0627655982971191,0.1914554884036382,0.030050375683451685,1.5474560260772705
primary,3,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,425,675,0.9381837844848633,0.2975244919459025,0.019635443976848688,1.792340874671936
