replicate_id,gain,true_mi_nats,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
101,0.0,0.0,11,2560,1,8210,7352,245,613,75,325,6.239349022507668e-05,-0.00036911418040593463,0.00027041676092954024,7.471488788723946e-05
101,0.0,0.0,23,2560,1,8210,7352,245,613,50,300,-0.00018240511417388916,-0.0001157224178314209,3.393900546552781e-05,-1.8998980522155762e-05
101,0.0,0.0,37,2560,1,8210,7352,245,613,50,300,-0.00015259534120559692,-8.114675680796306e-05,4.09827290057341e-05,0.00012080371379852295
101,0.15,0.011125304467409862,11,2560,1,8210,7352,245,613,25,275,-0.00037155114114284515,-0.0004524439573287964,1.4878414594649302e-05,4.0803104639053345e-05
101,0.15,0.011125304467409862,23,2560,1,8210,7352,245,613,25,275,-0.0002723783254623413,-0.0002897679805755615,1.2413039946981706e-05,4.003942012786865e-05
101,0.15,0.011125304467409862,37,2560,1,8210,7352,245,613,25,275,-0.0003166571259498596,-0.0003041947881380717,2.347128355794023e-05,1.6786158084869385e-05
101,0.5,0.11157177565710488,11,2560,1,8210,7352,245,613,50,300,-4.952959716320038e-05,0.00014495849609375,6.362322371673392e-05,0.0003327615559101105
101,0.5,0.11157177565710488,23,2560,1,8210,7352,245,613,100,350,0.0065840184688568115,0.01095588505268097,0.0024611212728205306,0.016450732946395874
101,0.5,0.11157177565710488,37,2560,1,8210,7352,245,613,75,325,0.002962850034236908,0.004230486849943797,0.0007244926916332204,0.0074450671672821045
101,1.0,0.34657359027997264,11,2560,1,8210,7352,245,613,300,550,0.13030245900154114,0.07675227522850037,0.028093752575338856,0.46013662219047546
101,1.0,0.34657359027997264,23,2560,1,8210,7352,245,613,250,500,0.14018575847148895,0.07252885897954305,0.03072890917759123,0.38557183742523193
101,1.0,0.34657359027997264,37,2560,1,8210,7352,245,613,400,650,0.12215470895171165,0.02162746588389079,0.035581417154541786,0.6511159539222717
101,1.5,0.5893274981708231,11,2560,1,8210,7352,245,613,250,500,0.2892158329486847,0.2109316885471344,0.009917970941531443,0.5928905606269836
101,1.5,0.5893274981708231,23,2560,1,8210,7352,245,613,375,625,0.3205597400665283,0.20168416698773703,0.027762357390864568,0.9995673894882202
101,1.5,0.5893274981708231,37,2560,1,8210,7352,245,613,525,775,0.3277571499347687,0.26209025581677753,0.042362791387714975,1.3100305795669556
211,0.0,0.0,11,2560,1,8210,7352,245,613,75,325,0.00034223590046167374,-0.00028683897107839584,0.0004162340478734318,0.001015517394989729
211,0.0,0.0,23,2560,1,8210,7352,245,613,75,325,0.00012979656457901,0.00026175379753112793,0.00010624653465265918,0.00046565383672714233
211,0.0,0.0,37,2560,1,8210,7352,245,613,75,325,0.00016152113676071167,-0.00023525208234786987,0.00031023595596354087,3.411620855331421e-05
211,0.15,0.011125304467409862,11,2560,1,8210,7352,245,613,50,300,-0.0001793745905160904,-0.00012911794086297354,6.639941970941134e-05,6.883591413497925e-05
211,0.15,0.011125304467409862,23,2560,1,8210,7352,245,613,50,300,-0.00020869076251983643,-0.000187605619430542,2.206026873530022e-05,-6.082653999328613e-05
211,0.15,0.011125304467409862,37,2560,1,8210,7352,245,613,50,300,-0.0001691952347755432,-1.1903544267018637e-05,4.5432695334426344e-05,0.00011340528726577759
211,0.5,0.11157177565710488,11,2560,1,8210,7352,245,613,50,300,0.0002307053655385971,0.0003391553958257039,0.00012539016653191428,0.0005066916346549988
