family,representation_dim,target_dim,node_index,node,scenario,expected,order_k,gain,noise_sigma,true_mi_nats,target_seed,direction_seed,noise_seed,critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
dim2560_adversarial_relative_retention_suite,2560,1,0,null,common,common,0,0.0,1.0,0.0,20260941,20260942,20260950,11,50,300,-0.00019536539912223816,-0.0002501991887887319,4.351224346863854e-05,-0.00024286285042762756
dim2560_adversarial_relative_retention_suite,2560,1,0,null,common,common,0,0.0,1.0,0.0,20260941,20260942,20260950,23,50,300,-0.0001544356346130371,-0.00014167030652364096,4.374221140422535e-05,1.5795230865478516e-06
dim2560_adversarial_relative_retention_suite,2560,1,0,null,common,common,0,0.0,1.0,0.0,20260941,20260942,20260950,37,25,275,-0.00029721111059188843,-0.0003099118669827779,2.6112246956289494e-05,-1.5527009963989258e-05
dim2560_adversarial_relative_retention_suite,2560,1,1,layer_00_start,common,common,0,0.15,1.0,0.011125304467409862,20260941,20260942,20260951,11,50,300,-4.385411739349365e-05,-0.00018425099551677704,2.3957211862768558e-05,-5.5827200412750244e-05
dim2560_adversarial_relative_retention_suite,2560,1,1,layer_00_start,common,common,0,0.15,1.0,0.011125304467409862,20260941,20260942,20260951,23,50,300,-0.000132828950881958,-4.4514735539754234e-05,2.6545481722427286e-05,5.9157609939575195e-06
dim2560_adversarial_relative_retention_suite,2560,1,1,layer_00_start,common,common,0,0.15,1.0,0.011125304467409862,20260941,20260942,20260951,37,50,300,-0.00011301040649414062,-0.00012039641539255778,3.755368032565141e-05,7.584691047668457e-06
dim2560_adversarial_relative_retention_suite,2560,1,2,layer_01_mid,common,common,0,0.5,1.0,0.11157177565710488,20260941,20260942,20260952,11,50,300,0.0002557113766670227,0.0005223502715428671,8.015104841629562e-05,0.0005596987903118134
dim2560_adversarial_relative_retention_suite,2560,1,2,layer_01_mid,common,common,0,0.5,1.0,0.11157177565710488,20260941,20260942,20260952,23,100,350,0.011263690888881683,0.009141790370146433,0.002510410178079158,0.02530977874994278
dim2560_adversarial_relative_retention_suite,2560,1,2,layer_01_mid,common,common,0,0.5,1.0,0.11157177565710488,20260941,20260942,20260952,37,75,325,0.0034117400646209717,0.0019358545541763306,0.000890036695211442,0.005704328417778015
dim2560_adversarial_relative_retention_suite,2560,1,3,layer_02_peak,common,common,0,1.5,1.0,0.5893274981708231,20260941,20260942,20260953,11,250,500,0.2309310883283615,0.1720845897992452,0.02094937620749017,0.7701242566108704
