node_index,node,scenario,expected,order_k,gain,true_mi_nats,estimate_mean,estimate_sd_across_seeds,estimate_min,estimate_max,mean_best_val,mean_best_step,mean_final_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
0,null,common,common,0,0.0,0.0,-0.00023392712076505026,8.529297048852764e-05,-0.0003099118669827779,-0.00014167030652364096,-0.00021567071477572122,41.666666666666664,291.6666666666667,3.7788900609717795e-05,-8.560344576835632e-05
1,layer_00_start,common,common,0,0.15,0.011125304467409862,-0.00011638738214969635,6.99543411715692e-05,-0.00018425099551677704,-4.4514735539754234e-05,-9.656449158986409e-05,50.0,300.0,2.9352124636949087e-05,-1.410891612370809e-05
2,layer_01_mid,common,common,0,0.5,0.11157177565710488,0.0038666650652885437,0.00462273823893586,0.0005223502715428671,0.009141790370146433,0.004977047443389893,75.0,325.0,0.001160199307235632,0.01052460198601087
3,layer_02_peak,common,common,0,1.5,0.5893274981708231,0.178556094566981,0.00618387612714339,0.1720845897992452,0.18440528213977814,0.2331666499376297,266.6666666666667,516.6666666666666,0.02575936364614403,0.7796851793924967
4,ho_loss_final_k1,ho_loss,negative,1,1.2,0.44599901965255523,0.12009023957782322,0.010848586749835493,0.1077878971894582,0.12828618784745535,0.11986295382181804,208.33333333333334,458.3333333333333,0.019404661337257365,0.4129312187433243
5,ho_loss_final_k2,ho_loss,negative,2,1.0,0.34657359027997264,0.07774669221705861,0.005849455641947221,0.0725983480612437,0.08410729343692462,0.06600107500950496,183.33333333333334,433.3333333333333,0.026029265974799414,0.2538057565689087
6,ho_loss_final_k3,ho_loss,negative,3,0.5,0.11157177565710488,0.002465584211879306,0.0064100154100080724,-0.003329038619995117,0.009351010123888651,0.0049986088027556734,91.66666666666667,341.6666666666667,0.002284607153529346,0.018320241943001747
7,ho_loss_final_k4,ho_loss,negative,4,0.15,0.011125304467409862,-9.896978735923767e-05,7.142792148379937e-05,-0.00018129621942838034,-5.348026752471924e-05,-8.618955810864766e-05,50.0,300.0,5.958365051426028e-05,3.2388915618260704e-05
8,flat_strong_final_k1,flat_strong,flat,1,1.0,0.34657359027997264,0.0637862781683604,0.014370742219213974,0.05010010798772176,0.07875554263591766,0.08593494693438213,183.33333333333334,433.3333333333333,0.010813063159503413,0.2937688281138738
9,flat_strong_final_k2,flat_strong,flat,2,1.0,0.34657359027997264,0.08493423068688975,0.002041000361250252,0.0832363348454237,0.0871986448764801,0.07433907718708117,175.0,425.0,0.010258336093408425,0.27750399708747864
10,flat_strong_final_k3,flat_strong,flat,3,1.0,0.34657359027997264,0.05491067220767339,0.014376321009515478,0.03848788142204285,0.06521910429000854,0.08129758387804031,225.0,475.0,0.014470099960424846,0.3663887282212575
11,flat_strong_final_k4,flat_strong,flat,4,1.0,0.34657359027997264,0.06958354492154387,0.018646057159642418,0.051245937744776406,0.08852345744768779,0.11578312019507091,233.33333333333334,483.3333333333333,0.017092592672746373,0.34788501262664795
12,ho_advantage_final_k1,ho_advantage,positive,1,0.15,0.011125304467409862,-0.00017084057132403055,0.0001747207124583715,-0.0003711891671021779,-5.010763804117838e-05,-0.00016724225133657455,50.0,300.0,5.409817068146766e-05,-1.9913849731286366e-05
13,ho_advantage_final_k2,ho_advantage,positive,2,0.5,0.11157177565710488,0.004724120307299826,0.0030116236789916417,0.002365401014685631,0.008116443951924643,0.0032867168386777243,83.33333333333333,333.3333333333333,0.0015509296815949668,0.008563962454597155
14,ho_advantage_final_k3,ho_advantage,positive,3,1.0,0.34657359027997264,0.05898021658261617,3.677726362895633e-05,0.05895105501015981,0.05902153253555298,0.07772479703028996,175.0,425.0,0.014437508614151008,0.2431381493806839
15,ho_advantage_final_k4,ho_advantage,positive,4,1.2,0.44599901965255523,0.12399844245778191,0.01945443325163261,0.10178728153308232,0.1380149026711782,0.10880069434642792,200.0,450.0,0.016497529603721348,0.39270368218421936
16,flat_moderate_final_k1,flat_moderate,flat,1,0.5,0.11157177565710488,0.005115547217428684,0.002632471732501667,0.002790297381579876,0.007973700761795044,0.005000090226531029,83.33333333333333,333.3333333333333,0.0007446970931681528,0.010855292590955893
17,flat_moderate_final_k2,flat_moderate,flat,2,0.5,0.11157177565710488,0.002178610470663342,0.000959797745396325,0.0015433637502913673,0.0032827183604240417,0.0039152241467187805,83.33333333333333,333.3333333333333,0.0024165778775520354,0.011363090326388678
18,flat_moderate_final_k3,flat_moderate,flat,3,0.5,0.11157177565710488,0.0027705692660270464,0.0010304256521502392,0.0015976230303446453,0.003530030449231466,0.0020098659636763236,75.0,325.0,0.00045828869057978314,0.0032199089570591846
19,flat_moderate_final_k4,flat_moderate,flat,4,0.5,0.11157177565710488,0.003439503618412548,0.00030591954635300243,0.0030894031127293906,0.0036552846431732178,0.0016871967042485874,75.0,325.0,0.0005655931851347816,0.007614460463325183
