critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score,pairing_sensitivity_original_cyclic_shift_mean,pairing_sensitivity_original_cyclic_shift_sd,pairing_sensitivity_derandomized_shift_mean,pairing_sensitivity_derandomized_shift_sd,pairing_sensitivity_full_permutation_mean,pairing_sensitivity_full_permutation_sd,pairing_sensitivity_cyclic_vs_derandomized_gap,pairing_sensitivity_cyclic_vs_full_permutation_gap,layer,subset_mask,order_k,representation_dim,n_train,n_val,n_test,run_fingerprint
11,525,775,0.1940147876739502,0.20713337262471518,0.34022889036266196,0.39009714126586914,0.20713337262471518,0.34022889036266196,0.586199680964152,0.02101046277673396,0.5839616060256958,0.052142701297942,0.3790663083394368,0.3768282334009806,0,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,400,650,0.18591594696044922,0.185577392578125,0.3036621837516237,0.34919166564941406,0.185577392578125,0.3036621837516237,0.5813727378845215,0.03816930865991372,0.581503689289093,0.056780827177253315,0.3957953453063965,0.395926296710968,0,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,650,900,0.20750951766967773,0.21746583779652914,0.3442800625368273,0.45150208473205566,0.21746583779652914,0.3442800625368273,0.5883020162582397,0.03796297511872479,0.5872254371643066,0.04908139387310278,0.3708361784617106,0.36975959936777747,0,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,950,1000,0.9481313228607178,0.7088302771250407,0.39645335924976544,4.598810195922852,0.7088302771250407,0.39645335924976544,0.9904086192448934,0.061943827199040506,0.978269100189209,0.05087818950443843,0.2815783421198528,0.26943882306416833,0,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,850,1000,0.8855859041213989,0.6467654705047607,0.3647337146153087,4.395599842071533,0.6467654705047607,0.3647337146153087,0.9520978132883707,0.08119443817469928,0.9386655688285828,0.054516458561910966,0.30533234278361,0.291900098323822,0,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,950,1000,0.9415372610092163,0.6922155221303304,0.40245395934641437,4.726224899291992,0.6922155221303304,0.40245395934641437,0.9663851261138916,0.08204207377656664,0.9684494733810425,0.046928080136997605,0.27416960398356116,0.27623395125071204,0,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,8.568167686462402e-08,-3.948807716369629e-07,0.0,0.0,-3.948807716369629e-07,0.0,-3.948807716369629e-07,0.0,-3.948807716369629e-07,0.0,0.0,0.0,0,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,2.9802322387695312e-08,-9.934107462565104e-09,2.247831920581015e-07,-1.4901161193847656e-08,-9.934107462565104e-09,2.247831920581015e-07,1.9868214925130207e-08,2.247831920581015e-07,-1.4901161193847656e-07,2.3084779657169682e-07,2.9802322387695312e-08,1.3907750447591147e-07,0,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,3.427267074584961e-07,2.9802322387695312e-08,0.0,0.0,2.9802322387695312e-08,0.0,3.725290298461914e-08,0.0,2.9802322387695312e-08,0.0,7.450580596923828e-09,0.0,0,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,175,425,0.03766602277755737,0.03925985097885132,0.017587969564750745,0.0779464840888977,0.03925985097885132,0.017587969564750745,0.05669285853703817,0.010612194030763026,0.04851937294006348,0.008148422912985709,0.01743300755818685,0.009259521961212158,0,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,250,500,0.043249547481536865,0.041700899600982666,0.014957960894237121,0.10031726956367493,0.041700899600982666,0.014957960894237121,0.059657394886016846,0.014892462477061347,0.05215561389923096,0.005399128732644684,0.01795649528503418,0.010454714298248291,0,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,425,675,0.051724135875701904,0.05014584461847941,0.01398894347645689,0.12101545929908752,0.05014584461847941,0.01398894347645689,0.0707281231880188,0.013436975913999293,0.06089520454406738,0.008139352551135315,0.02058227856953939,0.010749359925587974,0,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,3.725290298461914e-09,-2.1979212760925293e-07,0.0,-3.725290298461914e-09,-2.1979212760925293e-07,0.0,-2.1979212760925293e-07,0.0,-2.1979212760925293e-07,0.0,0.0,0.0,0,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,3.427267074584961e-07,-1.142422358194987e-07,2.247831920581015e-07,0.0,-1.142422358194987e-07,2.247831920581015e-07,-2.7318795522054035e-07,2.247831920581015e-07,-1.341104507446289e-07,2.3084779657169682e-07,1.5894571940104163e-07,1.9868214925130204e-08,0,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,-1.1175870895385742e-07,-2.644956111907959e-07,0.0,-7.450580596923828e-09,-2.644956111907959e-07,0.0,-2.644956111907959e-07,0.0,-2.644956111907959e-07,0.0,0.0,0.0,0,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,1.1920928955078125e-07,-3.0174851417541504e-07,0.0,0.0,-3.0174851417541504e-07,0.0,-3.0174851417541504e-07,0.0,-3.0174851417541504e-07,0.0,0.0,0.0,0,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,-3.5762786865234375e-07,-2.9802322387695312e-08,0.0,0.0,-2.9802322387695312e-08,0.0,-2.9802322387695312e-08,0.0,-2.9802322387695312e-08,0.0,0.0,0.0,0,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,4.470348358154297e-07,-1.1175870895385742e-07,0.0,0.0,-1.1175870895385742e-07,0.0,-1.1175870895385742e-07,0.0,-1.1175870895385742e-07,0.0,0.0,0.0,0,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,-2.1606683731079102e-07,1.4156103134155273e-07,0.0,0.0,1.4156103134155273e-07,0.0,1.4156103134155273e-07,0.0,1.4156103134155273e-07,0.0,0.0,0.0,0,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,-3.427267074584961e-07,1.4901161193847656e-07,0.0,1.4901161193847656e-08,1.4901161193847656e-07,0.0,1.4901161193847656e-07,0.0,1.4901161193847656e-07,0.0,0.0,0.0,0,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,8.940696716308594e-08,-1.4901161193847656e-07,0.0,7.450580596923828e-09,-1.4901161193847656e-07,0.0,-1.4901161193847656e-07,0.0,-1.4901161193847656e-07,0.0,0.0,0.0,0,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,625,875,0.3424021005630493,0.34237054983774823,0.0509663914311529,0.9892130494117737,0.34237054983774823,0.0509663914311529,0.3880449930826823,0.03688267345193439,0.373843252658844,0.022447285501348974,0.04567444324493408,0.031472702821095766,0,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,950,1000,0.3565635681152344,0.34643757343292236,0.05215064990030344,1.3082480430603027,0.34643757343292236,0.05215064990030344,0.40780381361643475,0.04151542844232593,0.38602614402770996,0.02523536307500491,0.06136624018351239,0.0395885705947876,0,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,975,1000,0.35908907651901245,0.3633553783098857,0.04137835625872266,1.1586350202560425,0.3633553783098857,0.04137835625872266,0.39832502603530884,0.033352282629342506,0.3845070004463196,0.018016381175717713,0.03496964772542316,0.0211516221364339,0,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,1.7881393432617188e-07,-2.60770320892334e-08,0.0,0.0,-2.60770320892334e-08,0.0,-2.60770320892334e-08,0.0,-2.60770320892334e-08,0.0,0.0,0.0,0,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,5.960464477539063e-08,2.9802322387695312e-08,0.0,0.0,2.9802322387695312e-08,0.0,2.9802322387695312e-08,0.0,2.9802322387695312e-08,0.0,0.0,0.0,0,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,4.6193599700927734e-07,-1.2665987014770508e-07,0.0,0.0,-1.2665987014770508e-07,0.0,-1.2665987014770508e-07,0.0,-1.2665987014770508e-07,0.0,0.0,0.0,0,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
